"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6,C8,C10","4","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2,C5","2","2.2u","","","","Capacitor_SMD:C_Elec_4x5.4","~"
"C3,C4","2","10u","","","","Capacitor_SMD:C_Elec_4x5.4","~"
"C7,C9","2","10uf","","","","Capacitor_SMD:CP_Elec_4x5.4","~"
"D1","1","LED_BGKR","","","","LED_SMD:LED_RGB_1210","~"
"D2,D3,D4,D5","4","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"H1","1","MountingHole","","Excluido del BOM","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"J1","1","Conn_01x02_Pin","","","","Huellas_propias:conector_pad","~"
"J2,J3","2","Conn_Coaxial_Small","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
"J4,J5","2","Conn_Coaxial_Small","","","","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","~"
"J7","1","USB_C_Receptacle","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1,Q2","2","S8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1,R2,R3","3","220","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R5,R6,R7","4","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","1","470","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9,R10","2","5.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R11,R12","2","12k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R13,R14","2","4.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","SW_DIP_x01","","","","Huellas_propias:spst 1","~"
"SW2,SW3,SW4","3","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KSC7xxJ","~"
"U1","1","LF33_TO252","","","","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf"
"U2,U5","2","NRF24L01-GT24Mini","","","","Huellas_propias:NRF24L01-GT24MINI",""
"U3","1","CP2102N-Axx-xQFN28","","","","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U4","1","ESP32-WROOM-32U","","","","RF_Module:ESP32-WROOM-32U","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"U6","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
